Fecha,Hora,Animal,Probabilidad
2025-10-30,08:00,Jaguar,0.028530746764895712
2025-10-30,09:00,Camello,0.02882207298769035
2025-10-30,10:00,Cebra,0.049639256279039805
2025-10-30,11:00,Ballena,0.03663591890549699
2025-10-30,12:00,Tiburon,0.0371102951279229
2025-10-30,13:00,Chivo,0.04098702165139942
2025-10-30,14:00,Canario,0.024010619742815226
2025-10-30,15:00,Tucan,0.025341909487066213
2025-10-30,16:00,Gorila,0.039564072522946775
2025-10-30,17:00,Grillo,0.033309687353534276
2025-10-30,18:00,Canguro,0.03243654700416446
2025-10-30,19:00,Cochino,0.04103478393547136
